Title,Authors,Citations_counts,Year,Journal,Abstract
Studies and Information,NA Van House,0,2003,Annual Review of Information Science and …,… APART FROM information retrieval there is virtually no other area of information science … writing as 'user studies'. Within user studies the investigation of 'information needs' has been the …
“Feminist Perspectives on Science Studies”: Commentary,S Traweek,7,1988,NoJournal,"I want to begin by telling a few tales. I am fully aware that some of my friends, esteemed colleagues all, believe that telling tales has no place in our study of the production of scientific and technological knowledge. They might say that tales' are permissible, but only labeled as anecdotes, the sort of"" data"" one finds in descriptive, qualitative, subjective"" research""; that objective, quantitative, and/or analytic work does not use anecdotes. But I like to study how groups of people make sense together and how they go about producing the tools they call knowledge. Consequently, I cannot accept my friends' distinctions and labels as a priori assumptions for my own investigations. So what do I make of tales? I think they are stories people tell to themselves and each other about how to make sense of something. If we study those tales, we can find out the locally accepted procedures for making, debating, revising, and enforcing sense. Back to the four tales. While finishing my dissertation, I taught at Stanford University for the Values, Technology, Science, and Society Program as a section leader in a course called"" Western Culture,"" required for first-year students. I tried to teach the students to think analytically about this Victorian canon; I also wanted to teach them the principles of exclusion incorporated in this canon. I often suggested that, while reading the assigned"" great books"" that presumably addressed the"" human condition,"" they should watch for ways in which specific historical experiences of specific groups of historical actors had been generalized as universal. One day I asked that they read the masculine generic grammatical forms in Machiavelli's The Prince as feminine grammatical forms and see how this led them to reinterpret the text. One very young woman with pink bows in her hair looked at me incredulously and said,"" You mean, like, The Princess?"""
"History of Science Society Annual Meeting, 2011: The Program","MD Gordin, ML Jones",0,2012,Isis,"Not far from where the Cuyahoga River empties into Lake Erie, the History of Science Society’s annual meeting took place in the classic Renaissance Cleveland Hotel from 3 to 6 November 2011. Meetings of the Society for the History of Technology and the Society for the Social Studies of Science took place (or, in conference metaphysics,“were co-located”) at nearby hotels. The easily manageable distances between the three meetings afforded a tour of downtown Cleveland’s stunning architecture—an enduring legacy of civic pride. The HSS meeting had 614 registered attendees, while SHOT and 4S had 344 and 1,115 attendees, respectively. On Thursday afternoon the three societies came together for a timely, well-attended joint plenary on “Dealing with Disasters: Perspectives on Fukushima from the History and Social Studies of Science and Technology,” with presentations from Spencer Weart (HSS), Gabrielle Hecht (SHOT), and Hugh Gusterson (4S). In a superlative display of restraint and professionalism, all the speakers and the commentator, Yuko Fujigaki, offered succinct and sobering cross-sections of how our complementary fields can illuminate the post-tsunami nuclear catastrophe in Japan. The speakers left plenty of time to reflect while walking over to the Great Lakes Science Center for a stunning reception, arranged by the local organizing committee. The plenary exemplified the two overriding characteristics of this HSS meeting: high standards of scholarship and a tremendous concern for how our field intersects with “the real world.” First, to the scholarship, on fine display throughout the conference. The first session listed on the program for Friday morning was entitled “Defending Science against Standardization,” and that could just as well encapsulate the tenor of the sessions throughout the meeting. If the presentations, which spanned the Comtean gamut from astronomy to the social sciences, from antiquity to an email from last April, and ranged across all corners of the globe, are any indication, historians of science are in no danger of becoming standardized. Unless members cease to submit such interesting abstracts, no planning could preclude the perennial problem: which session to attend when pulled in umpteen directions. Engage with Robert Westman’s magnum opus? Explore the conjunction of history of science and media studies? Plumb the Antikythera mechanism? Recall the highs and lows of the FDA amid tales of regulatory capture? Explore 1960s counterculture or mail-order science? Throw up one’s hands in a Kahnemanian muddle and head off to the book room? Sessions braided through this HSS “provincialized” Europe and North America: sessions on South Asian science, the circulation of scientists to Latin America, and the cultivation of indigo in India and Jamaica—as well as a discussion of Chinese theories of the body in the first session sponsored by the new FHSAsia interest group. Another session sought to correct “the terrestrial bias” of the history of science by turning to moving laboratories and observatories on the ocean. Silvan (“Sam”) Schweber presented the Distinguished Lecture, drawing from his long-awaited biography of Hans Bethe.“Models, Machines, and Materialities,” sponsored by the Forum for the History of the Mathematical Sciences, sparked excited buzz. Even sessions in the dreaded Sunday morning time slot drew sizable crowds. And all this with two other conferences happening just blocks away."
"Report on"" Political Dimensions of Technological Change"" Conference, 15-16 October, 1983 Griffith University, Queensland, Australia",J Moran,0,1983,4S Review,"Brusque young federal Minister for Science and Technology, Barry Jones, set the tone in his opening address by converging on the problem of Australia's technological dependence, foreign ownership and control, and an ailing manu-facturing sector. Claiming that attitudes to work needed drastic overhaul, Jones proceeded to outline a series of future scenarios (ranging from the prospect of a blackmarket economy operating outside the formal economy to the mushrooming of electronic"" offices"" to the conserver society set of options.) He was critical of many such projections of future society in that they tended to underplay the class nature of unemployment. However"
Redrawing the Boundaries Between Science and Politics: Toward a Postmodern Version of Speaking Truth to Power,H Nowotny,0,1992,Science and Sustainability,"In Chapter 5 (Pluralism and Convergence in National and International Science Policy) Sheila Jasanoff traces the roots of the widespread intellectual unease that surrounds a lot of scientific inquiry and technological practice at present. She highlights the more subtle strain of skepticism that has been added through the recent work performed in social studies of science and technology, with their emphasis upon the in-built sociality of science and the role played by social negotiations in the construction of scientific knowledge. She maintains that the distance between scientific and political processes is narrowing. In extreme cases this may lead to endemic conflicts in society becoming re-enacted in public controversies that erupt over scientific and technological issues. The overall aim of her chapter is to invite us to consider ways of reconciling the recent, more relativistic conception of science and its deconstruction with the unique effectiveness that scientific knowledge holds with regard to what she identifies as an urgent goal for the future, namely,"" to harmonize disparate conceptions about the rights of human beings, their place in nature, and their obligation"
Performing environmental change: the politics of social science methods,"K Asdal, N Marres",45,2014,Environment and Planning A,"Social sciences—from behavioural economics to social psychology—are increasingly enrolled in policy, market, and activist endeavours in the area of environmental change. In fields as diverse as sustainable architecture and lifecycle management, social scientific expertise is gaining recognition as a contributor of models, methods, and devices for addressing environmental issues by intervening in practices and shifting arrangements, and in both popular and professional literatures social science is now frequently presented as a critical resource for the measurement, prediction, and facilitation of technological, ecological, societal, and organizational change. The lifestyle magazine SEED summarized it succinctly in a lead article on “how social science can help save us from climate change”, provocatively entitled “The last experiment”:“It is up to social science to make us act in environmentally conscious ways”(Zax, 2009). At first sight, this situation seems to disturb a familiar assumption in social studies of the environment: namely, the idea that the social sciences play a rather marginal role in the policy and research area of ‘the environment’, which has after all long been dominated by the ‘hard sciences’(Wynne, 2010). Can we begin to assume that the relevance of social science approaches to environmental change is becoming established, and that the period of the marginalization of social science and social aspects in environmental issues is coming to an end? This theme issue finds its starting point in the realization that the very posing of this question renders newly relevant a set of political, epistemic, and ethical issues that are peculiar to the social sciences. Various general concerns regarding the capacities of social methods to intervene in the world now take on special salience in relation to the area of environmental change in particular. Especially important here is the long-standing debate about the limits and potential of the social sciences’ capacity to actively inform, facilitate, and help manage social change, and also the debate about the roles that social methods and techniques of measurement, modelling, visualization, and prediction play and might play in the performance of change. The coining and development of the sociological concept of the ‘performativity of methods’ has been one of the principal recent contributions of the interdisciplinary field of the social studies of science and technology (STS) to this debate (Law, 2004; Muniesa et al, 2007). For several years now it has been recognized that this concept is of special relevance to the field of environmental studies (Verran, 2012; Whatmore and Landstrom, 2011). In relation to environmental issues, the capacity of methods to both inform and affect the constitution of the phenomena purported to be measured or described raises a set of distinctive questions both in relation to the long-established claim about the limited influence of social science in this area, as well as in view of the heterogeneous and ‘lively’character of environmental affairs (Latour, 2004; Marres, 2012; Murphy, 2006; Yusoff, 2013): issues like air pollution, plastic bags, floods, climate change, domestic energy use are marked by"
"Algorithmic cultures: Essays on meaning, performance and new technologies","R Seyfert, J Roberge",113,2016,NoJournal,"This book provides in-depth and wide-ranging analyses of the emergence, and subsequent ubiquity, of algorithms in diverse realms of social life. The plurality of Algorithmic Cultures emphasizes: 1) algorithms' increasing importance in the formation of new epistemic and organizational paradigms; and 2) the multifaceted analyses of algorithms across an increasing number of research fields. The authors in this volume address the complex interrelations between social groups and algorithms in the construction of meaning and …"
Science and technology in a multicultural world: The cultural politics of facts and artifacts,DJ Hess,556,1995,NoJournal,"… In the chapters that follow, I focus on cultural politics in the study of science and technology. In a huge field of research I have limited my examples to some well-known cases in history …"
The National Science Foundation and the philosophy of chemistry,BE Seely,0,2003,Annals of the New York Academy of Sciences,"Abstract: Since its founding in 1950, the National Science Foundation has provided support for a variety of studies in history, philosophy, and social studies of science. The fact that a relatively small number of projects dealing with the philosophy of chemistry have received NSF support is due to the small number of such proposals that have been submitted. The NSF Science and Technology Studies Program (STS) welcomes proposals dealing with philosophy of chemistry."
Technologies of compliance? Telecare technologies and self-management of COPD patients,"N OUDSHOORN, I MATTHUIS",2,2015,… & Social Studies of Science and Technology,"As mentioned in chapter 1, this thesis is aimed at understanding the design and use practices of a telecare technology for COPD patients developed over two consecutive research projects in the Netherlands. In this chapter I focus on the telecare technology developed within the framework of the COPDdotCOM research project. 28 According to the website, the objective of the COPDdotCOM project is “to design, develop and demonstrate a prototype system that supports disease management program for COPD, which can be …"
"Essays on Science, Technology, and Society in Latin America Edited by: DOI: ISBN (electronic): Publisher: Published: Eden Medina, Ivan da Costa …",BI Magic,0,2014,NoJournal,"This book testifies to the progress of critical investigations on how science and technology have been constructed, designed, imagined, and practiced in Latin America. This collection is truly outstanding, not only because the contributors take into consideration the philosophical, historical, sociological, anthropological, and political science dimensions of a little-studied region of the world, but also because they address issues relevant to scholars and readers interested in the phenomenon of science and technology all over the world. And it is no small feat that the literature they use is up-to-date. One issue that certainly appears clear in this publication is that scientific knowledge constructs its “universal” legitimacy depending not only on time, place, and field of study, but also on the agency of individuals, institutions, and nations. Has Latin America always been passive and derivative in terms of scientific creativity, or has it played a central role in the making of contemporary specialized practices? The answers coming from Latin America show, with increasing emphasis, that science and technology should be understood as an arena contested by a wide variety of individuals, institutions, and actors and through complex local processes of reception, rejection, adaptation, and hybridization. From this perspective, Western science could be understood as a process of polycentric networks, and as a global dynamic interplay in ever-shifting networks.
This book offers several specific contributions to the literature. First, it addresses the complex and difficult coexistence of the significant advances made to Western science by Latin American centers of knowledge making and the asymmetry of knowledge production between Latin American nations and their counterparts in more industrialized parts of the world. This means that, at least during the twentieth and twenty-first centuries, Latin American science has contributed to the world store of knowledge and helped construct the hegemony of metropolitan Western knowledge, but at the same time has faced adverse conditions such as low cultural esteem, few full-time laboratory positions, ephemeral academic journals, underfunded universities, and limited financial resources. As a result, high-quality Latin American science and technology have survived in the international scientific community despite the"
Computer simulations in science and technology studies,"P Ahrweiler, S Wörmann",37,1998,… simulations in science and technology studies,This chapter outlines the history of a growing research community: the “invisible college” (Mullins 1973) of scientists who work on computer simulations in Science and Technology Studies (STS). Their common interest enables at least two possible research areas which are only just emerging.
The ecologization of agricultural sciences and technology and the role of social studies about it,M Barbier,9,2009,Congress of European Society of Rural Sociology,"… It is argued that the cross‐fertilising of ecological modernization movement and Social Studies of Science and Technology (particularly Actor‐Network‐Theory) is giving the opportunity to establish a perspective that might enlighten and accompanied the effective ecologization processes of agricultural sciences and technology. But this requests specific conditions and ways of doing social studies in situation, which are including those processes. … Following the important account of the ecologization of agricultural policy in …"
"Karen-Sue Taussig: Ordinary Genomes: Science, Citizenship and Genetic Identities: Duke University Press, Durham, NC, 2009, Paperback 23.95,ISBN978-0-8223 …",S Leonelli,0,2012,NoJournal,"Ordinary Genomes is an ethnography of genomics, a global scientific enterprise, as it is understood and practiced in the Netherlands. Karen-Sue Taussig's analysis of the Dutch case illustrates how scientific knowledge and culture are entwined: Genetics may transform society, but society also transforms genetics. Taussig traces the experiences of Dutch people as they encounter genetics in research labs, clinics, the media, and everyday life. Through vivid descriptions of specific diagnostic processes, she illuminates the open and …"
Ways of knowing and doing STS: Niki Vermeulen talks with Wiebe Bijker,NoAuthors,0,2018,NoJournal,"It is a special moment in the history of STS. With the young discipline transitioning into a not so-young-field-anymore, there is plenty of reason for celebrations: defining groups are celebrating remarkable anniversaries and individual careers are celebrated when founding figures retire. These celebrations are also excellent moments for reflections on pasts, presents and futures of STS and the place of STS in the wider world. In this conversation, Wiebe Bijker, recently subject of his own retirement celebration in Maastricht (Bijker 2017), shares his views on STS. We travel with him from the Netherlands to India, and briefly stop in Edinburgh at SSU where we find the origin of the SCOT abbreviation. On the way, we discuss Dutch activism, teaching, the institutionalization of STS, the emergence of international networks, and different roads STS can take. We end with an optimistic view towards a global future, while emphasizing the importance of the inclusion of history and the classics."
TECHNOLOGY IN HISTORICAL PERSPECTIVE: AN ATTEMPT AT RECONSTRUCTION,NoAuthors,0,0,NoJournal,"The authors of this book have argued that the significance of research-technologies lies in their trans-community positioning or “interstitiality,” in the openness or “genericity” of their devices, and in the provision of standardized languages or “metrologies.” It remains to be seen where research-technology fits in social studies of science and technology, and how the research-technology perspective contributes to a broader understanding of societal dynamics. In this final chapter we will address these issues in turn."
Science and Technology Policy-Volume I,R Arvanitis,33,2009,NoJournal,"Science and Technology Policy theme is a component of Encyclopedia of Technology, Information, and Systems Management Resources in the global Encyclopedia of Life Support Systems (EOLSS), which is an integrated compendium of twenty one Encyclopedias. Science and technology policy covers all the public sector measures designed for the creation, funding, support, and mobilization of scientific and technological resources. The content of the Theme on Science and technology policy provides the …"
"Technoscience, technological cultures and socialisation",E Aarden,4,2009,Journal of Science Communication,"Technoscience is deeply linked to national cultures across terrains as diverse as medicine, agricultural biotechnologies, ICTs, energy technologies, etc. Understanding the cultural dimension of technoscience is vital for the project of socialisation. This project should be embedded in technological and political cultures, taking variation in cultural approaches to technoscience, national identity and political decision-making seriously. Socialisation of science and technology in Europe should therefore approach socio-technical developments in a way that allows for the emergence of controversies and alternative scenarios and their resolution. Only when we take the links between technological cultures, liberal democracy and technoscience seriously we will be able to confront some of today's most pressing and complex problems.
This past summer saw a worldwide celebration of one of mankind’s most “giant leaps” in terms of scientific and technological achievements; the 40th anniversary of the Apollo 11 mission that brought men on the moon for the first time. Interestingly, one of the most highly publicised comments on the event came from Neil Armstrong, who had kept silent for the better part of four decades and now described the race for the moon as a “peaceful competition” between the Cold War adversaries of the US and the USSR. Inspired by Armstrong’s terminology, a commentary in one of the major daily newspapers in the Netherlands noted how possible American efforts to travel to Mars, highly endorsed by the former astronauts, are bound to be challenged by other powers such as Russia and China. Clearly, one of the most highly sophisticated forms of technoscience (a term to describe the intricate mutual dependencies between contemporary science and technology) we know is deeply connected to national identity and self-awareness. In this commentary, I will argue that this is not a coincidence. Instead, there are deep links between national cultures and technoscience across terrains as diverse as medicine, agricultural biotechnologies, ICTs, energy technologies, etcetera. Understanding this cultural dimension of technoscience, so I will claim, is vital for the project of socialisation. Socialisation initiatives can only be effective when taking political cultures of technoscience seriously. To arrive at this point, it is fruitful to briefly go over some of the most important lessons social studies of science and technology (STS) have taught us. The first of these, which is probably closest to people’s everyday experiences, is that developments in science and technology deeply affect our everyday lives and culture. To briefly think about the means of transportation and communication available to our grandparents and compare them to the options we have today is sufficient to understand this point. At the same time, a second and equally fundamental insight from STS is that science and technology can never develop outside of their social context. STS scholars have shown how both facts and artefacts are ultimately shaped in and by a particular social environment. An example is that the technology of ‘packet-switching’, a vital part of today’s Internet that slices up and stitches back together information transmitted over the Web, was originally developed for sending classified military messages [1]. Thirdly, STS researchers have forcefully argued that the fact that technoscience changes our world and the fact that human intervention in the development of science and technology is possible make technoscientific issues matters of political interest [4],[10]. This is also apparent from the numerous occasions where public controversies have arisen over scientific and …"
Technology in Historical Perspective: An Attempt at Reconstruction,NoAuthors,10,2001,NoJournal,"The authors of this book have argued that the significance of research-technologies lies in their trans-community positioning or “interstitiality,” in the openness or “genericity” of their devices, and in the provision of standardized languages or “metrologies.” It remains to be seen where research-technology fits in social studies of science and technology, and how the research-technology perspective contributes to a broader understanding of societal dynamics. In this final chapter we will address these issues in turn."
Education and public attitudes toward science: Implications for the “deficit model” of education and support for science and technology,HJ Bak,237,2001,Social Science Quarterly,"Objective. By critically examining the deficit model, this research attempts to grasp the multifaceted relationships between education and public attitudes toward science. Methods.It analyzes a series of nationwide surveys of public attitudes toward science conducted over a decade. Results. First, respondents' levels of education and levels of scientific knowledge make independent contributions to public attitudes toward science. Second, college (and postgraduate) majors have very weak effects on public attitudes toward science. Third, education is a much weaker predictor of public attitudes toward controversial scientific research, compared to its strong influence on science in general. Conclusions. Although education may indeed enhance public support for science in general, it may not help much to reduce tensions around politicized, controversial scientific research. For scientific controversies, gender might be a more important variable than education."
"News from"" Down Under""",DP Miller,0,1983,4S Review,"… widely welcomed overseas, not least because the new government promptly signed up to the Kyoto … In Australian universities there was a deep sigh of relief at the news that the previous …"
Science and technology studies–the environmentally friendly cottage industry,P Giasner,1,2014,Developments in Sociology,"This chapter recognizes the difficulty in attempting to provide a complete overview of any sub-discipline in a restricted space, given the problems of boundary maintenance and politics inherent in such an enterprise. Instead, the chapter focuses on the issue of genetic modification and shows how the resources of science and technology studies can be brought to bear on illuminating what, for many, is very much a technological'black box'. In doing so, it begins by discussing how the area has become framed by the debate about risks …"
Mapping the social study of carbon capture and storage technology as a climate strategy,O Corry,0,2010,NoJournal,"It is important to be aware of different approaches to social studies of science and technology. Therefore, in order to get the full picture of what the social studies of CCS is about, where progress is being made and where more research is needed this paper surveys existing approaches and suggests a way of organising and thinking about the variety of studies of 'CCS in society'that exist or perhaps ought to exist. First the various existing social scientific disciplines currently being deployed to study CCS and other related …"
"Introduction: Voices from within and Outside the South—Defying STS epistemologies, boundaries, and theories",NoAuthors,35,2014,NoJournal,"The global South, that is, the region outside the Western Europe, North America, and the developed nations of Oceana and Asia, has been neglected by social scientists studying science, technology, and society (STS) issues. Since the end of the 1990s, however, a growing body of work has critically evaluated the contradictory role of Northern styles of science and technology for development, including the cultural assumptions embedded within them. Social theories have expanded to consider the ways that local practices shape knowledge and technologies in these settings. Such studies have, for instance, addressed debates ranging from the divide between laymen and scientists to the relationship between Northern and Indigenous"
English Presentation,R Tecnoscienza,0,2010,TECNOSCIENZA: Italian Journal of Science & …,"… and less on effective English structures, vocabulary and … English communication and presentation in an international conference. First of all different phases of presentation in an English …"
by Anda Adamsone-Fiskovica,A Jamison et al.,0,2004,Reports from the joint 4S & …,"While farming practices such as intercropping, cover cropping, and green manuring are promoted as contributors to environment-friendly agriculture by balancing agricultural production …"
Science and Technology: Now and in the Future,"M Erickson, F Webster",4,2011,The Wiley‐Blackwell Companion to …,"… goal of science education, and is now receiving increased … The research reviewed later in this chapter provides clear … as being a critical component of scientific literacy (NSTA, 1982). …"
"JENNIFER KARNS ALEXANDER, The Mantra of Efficiency: From Waterwheel to Social Control. Baltimore: The Johns Hopkins University Press, 2008. Pp. xvii+ 233 …",S Dry,0,2010,The British Journal for the History of Science,"Winner, 2010 Edelstein Prize, Society for the History of Technology Efficiency—associated with individual discipline, superior management, and increased profits or productivity—often counts as one of the highest virtues in Western culture. But what does it mean, exactly, to be efficient? How did this concept evolve from a means for evaluating simple machines to the mantra of progress and a prerequisite for success? In this provocative and ambitious study, Jennifer Karns Alexander explores the growing power of efficiency in the post-industrial …"
Converging epistemic cultures? A discussion drawing on empirical findings,K Kastenhofer,81,2007,Innovation,"Convergence of research fields under a new techno-scientific paradigm is currently being discussed among scholars of social studies of science and technology, and in the context of research funding programmes and frameworks of science and technology policy. Mostly, these discussions refer to the macro-scale and adopt a broad understanding of convergence. The present paper introduces a focus on epistemic cultures and raises the question of what convergence might imply on the micro-level of everyday research practices. Relative similarities and differences of various epistemic cultures are indicated, drawing upon empirical investigations. Three forms of scientific change over time are distinguished (convergence, divergence and emergence) and three modes of convergence are further elaborated (cooperation, integration and assimilation). On this conceptual basis the thesis is put forward that the emergence of new technosciences is driven by the technological visions and realities of recent (bio)scientific developments. These, in turn, result in a fundamental reconfiguration of science and its role in society."
"Artefacts of not-knowing: The medical record, the diagnosis and the production of uncertainty in Papua New Guinean biomedicine",A Street,86,2011,Social studies of science,"Anthropological and STS scholars of biomedical work have traditionally explored contexts where inconsistencies and lacunas in diagnostic knowledge-production are problematic for medical practitioners, and such scholars have consequently focused on the social and political processes by which such epistemic uncertainties are resolved. This article draws on ethnographic material from a Papua New Guinean hospital where diagnostic uncertainty is not rendered problematic and where the open-endedness of the diagnostic process gives rise to new forms of medical expertise and practice. The paper focuses on the medical record as an artefact of not-knowing that both documents and performs uncertainty as a valuable resource. It shows that medical records can operate as either technologies of ‘opening’ that multiply opportunities for pragmatic action within a hospital space or as technologies of ‘closure’ that move people and documents between spaces. Practices of not-knowing and knowing are therefore shown to be interdependent and interchangeable ‘moments’ of bureaucratic-biomedical work."
The problem of epistemic jurisdiction in global governance: The case of sustainability standards for biofuels,"DE Winickoff, M Mondou",45,2017,Social Studies of Science,"While there is ample scholarly work on regulatory science within the state, or single-sited global institutions, there is less on its operation within complex modes of global governance that are decentered, overlapping, multi-sectorial and multi-leveled. Using a co-productionist framework, this study identifies ‘epistemic jurisdiction’ – the power to produce or warrant technical knowledge for a given political community, topical arena or geographical territory – as a central problem for regulatory science in complex governance. We explore these dynamics in the arena of global sustainability standards for biofuels. We select three institutional fora as sites of inquiry: the European Union’s Renewable Energy Directive, the Roundtable on Sustainable Biomaterials, and the International Organization for Standardization. These cases allow us to analyze how the co-production of sustainability science responds to problems of epistemic jurisdiction in the global regulatory order. First, different problems of epistemic jurisdiction beset different standard-setting bodies, and these problems shape both the content of regulatory science and the procedures designed to make it authoritative. Second, in order to produce global regulatory science, technical bodies must manage an array of conflicting imperatives – including scientific virtue, due process and the need to recruit adoptees to perpetuate the standard. At different levels of governance, standard drafters struggle to balance loyalties to country, to company or constituency and to the larger project of internationalization. Confronted with these sometimes conflicting pressures, actors across the standards system quite self-consciously maneuver to build or retain authority for their forum through a combination of scientific adjustment and political negotiation. Third, the evidentiary demands of regulatory science in global administrative spaces are deeply affected by 1) a market for standards, in which firms and states can choose the cheapest sustainability certification, and 2) the international trade regime, in which the long shadow of WTO law exerts a powerful disciplining function."
Life or Death? The Life Sciences and Weapons Research,J Guillemin,1,2002,NoJournal,"The use of disease by humans against humans is a perverse enterprise of extremely rare occurrence, even though massive state programmes have been devoted to it. Before the 1972 Biological Weapons Convention made the hostile use of bacteria, viruses and toxins illegal, most major world powers had germ weapons programmes and some, especially the USA, UK and the Soviet Union, had developed significant offensive capability."
"Social Studies of Science and Technology: Looking Back, Ahead",S Jasanoff,3,2003,NoJournal,"BERNW ARD JOERGES AND HELGA NOWOTNY YET ANOTHER TURN The thing that doesn't fit is the thing that's most interesting. Richard Fcynman This volume was originally conceived as a contribution to yet another'tum', not cap tured by one of the many adjectives that have served to describe the collective meander ing of the scholarly community in search of direction, It was meant to mark the millen nial turn, a seemingly purely chronological event, but one in search for great meanings and invested with loaded significances. The …"
Reflections on Gender and Technology Studies,J Wajeman,1,2009,The Information Society: Critical Concepts in Sociology,"This Comment reflects upon the relationship between gender and technology, and how it has been theorized in recent decades. I argue that while feminist approaches have had considerable influence on mainstream social studies of science and technology, tensions remain. I go on to explore the proliferation of feminist research which conceptualizes technology as culture. I suggest that the contemporary focus on cultural representation and consumption, exciting and productive as it is in many respects, has contributed to the neglect of design studies. These are necessary to fully elucidate how gender relations figure in the construction of technology."
Shifting Gender Norms in Biology and Technology,W Ernst,15,2014,Gender in science and technology: Interdisciplinary …,"Since the late twentieth century, feminist analysis of science and technology has been criticizing not only the absence of women as epistemic subjects and objects, but also their rather problematic presence as a stereotyped and devalued other. Studies show how prevalent gender norms impede people to develop technologies accessible to and profitable for all (Lerman et al., 2003; Sørensen et al., 2011). Studies also show how people find new ways to negotiate their gender identities within the materialized cultural space of normative assumptions about women and men (Kafai et al., 2008; Varma, 2007); and how people express gender in information and communication technologies beyond so-called natural or culturally desirable ways (Landström, 2007b; Wakeford, 2002). Therefore, feminist analysis of science and technology is in need of finding, first, innovative epistemic ways to empower those who are dis-empowered by gender hierarchies, racism, classism, homophobia, and other ideological conditions that classify persons in structural hierarchies. Second, feminist analysis can investigate the epistemic ground on which persons counteract those structural hierarchies. Third, I will argue that epistemological
* A shorter and preliminary version of this paper was given at the joint 4S+ EASST conference “Design and displacement–social studies of science and technology”, October 17–20, 2012 at the Copenhagen Business School, Denmark. Many thanks to Kristina Pia Hofer and Elisabeth Greif for helpful comments on an earlier version."
A field of its own,NoAuthors,129,2017,NoJournal,"… into a new culture of knowledge making with its own native habits of production and exchange. … ,” the field draws its own distinctive boundaries around the subject matter it investigates. …"
Technocapitalism meets technofeminism: women and technology in a wireless world,J Wajcman,144,2006,Labour & Industry: a journal of the social and …,"Mastery over technology has long been seen as a key source of power for men, reflected in hierarchies of sexual difference at work and at home. However, in the new digital age, many contemporary feminists surmise that the link between technology and male privilege is finally being severed. While early second-wave feminism stressed how embedded technology is with capitalist and patriarchal relations, cyberfeminism conceives of the virtuality of cyberspace and the Internet as spelling the end of the embodied basis for sex difference and thus liberating for women. This article presents both pessimistic and optimistic perspectives, drawing on the social studies of technology. The technofeminist approach advocated here recognises that the gender-technology relationship is rapidly changing, while emphasising that this is the result of feminist politics and not technology per se."
Social shaping of information infrastructure: on being specific about the technology,"E Monteiro, O Hanseth",682,1996,… Technology and Changes in Organizational Work …,"In this paper, we discuss conceptualizations of the relationship between IT and organizational issues. To move beyond an “IT enables/constrains” position, we argue that it is necessary to take the specifics of an information system (IS) more seriously. A theoretical framework called actor-network theory from social studies of science and technology is presented as promising in this regard. With respect to new organizational forms, the class of ISs which needs closer scrutiny is information infrastructures (INIs). They have characteristics which distinguish them from other ISs, namely the role and pattern of diffusion of standards. These standards are neither ready-made nor neutral: they inscribe organizational behavior deeply within their “technical” details. Diffusion and adoption of standards depart from other kinds of ISs by requiring the coordination of the surrounding actors, institutional arrangements and work practices."
"Practices and values of science journalism. Analysis of the production's conditions, contents and perspectives by journalists in Argentina",NoAuthors,0,0,NoJournal,"The news coverage of science has been studied for at least three decadesI, mainly in Anglo-Saxon contexts and in some a parts of Europe (Hansen, 2009), and although Latin America and Argentina specifically have not been strange to this trend thanks to a diversity of academic communities that have shown interest for the subjectII, its development is still incipient and a large gap remains not only in terms of collection and systematisation of quantitative data, but also on qualitative research of how local conditions, journalists’ perceptions and professional identities and trajectories influence science journalism (SJ) developmentIII, allowing to contextualise and enrich findings reported by the international literature and the debates generated about the present and future of the profession. The research that has been carried out so far in Latin America have shown, broadly, a dominance of the news articles journalistic genre, a trend to decrease the coverage of scientific controversies and an homogenization of the information as a result of the press releases and wires produced by news agencies and universities, research centers and
I At a global scale, SJ has been subject of analysis by different disciplines, including research in “Public Communication of Science and Technology”(PCST), of interest by Social Studies of Science and Technology (SST) and, of course, subject of scrutiny by journalism and communication studies that usually look at it as part of an specialization of journalism or a “beat” within news."
Writing the History of Space Science and Technology: Multiple Audiences with Divergent Goals and Standards,JN Tatarewicz,2,2013,The Historiography of Contemporary Science …,"For the most part, historians and others writing about past events, and actors, need only reach an accommodation between the evidence, their accounts, and their peers or other interested parties. In studies of very recent science and technology, however, actors and others with direct knowledge of the events in question can be a source of information that supplements and even corrects the usual sources. They can also shape, confirm, or contest the accounts developed by the historian. Actors' understanding of history is shaped by their …"
Studying Culture Differently: From Quantum Physics to the Music Synthesizer: An Interview with Trevor Pinch,P Magaudda,12,2014,Cultural Sociology,"This interview with Trevor Pinch, one of the most significant scholars in contemporary Science and Technology Studies (STS), reconstructs his career from the second half of the 1970s onwards, emphasizing the various points of contact and differences between social studies of science and technology, and several different approaches and authors in cultural sociology, cultural studies and culturalist approaches to the study of society. In doing so, the interview traces the evolution of debates in the sociological study of culture in relation to contemporaneous developments in the social study of science and technology. The interview moves on to explore one of the areas where Trevor Pinch has been active in recent years, namely the social and cultural study of music technologies. The interview ends with a reflection upon the political perspectives implicit in studies of science and technology generally, and in the work of Trevor Pinch particularly."
